Country,Effective tariff as of June 4th (%),Exports to US as % of total 2024 exports,Exposure Measure (%)
China,32.19,13.4,4.31346
Azerbaijan,28.57,0.51,0.145707
Republic of Macedonia,27.32,1.4,0.38248
Bahrain,27.02,8.12,2.194024
Luxembourg,25.67,2.95,0.757265
Slovakia,23.25,4.16,0.9672
Oman,20.68,6.16,1.273888
Kosovo,19.67,4.07,0.800569
Romania,18.92,2.99,0.565708
United Arab Emirates,18,1.92,0.3456
Japan,16.89,20,3.378
South Korea,16.79,18.78,3.153162
Ukraine,15.91,2.08,0.330928
Serbia,15.25,2.13,0.324825
Somalia,15.05,0.21,0.031605
Greece,15.03,5.04,0.757512
Kyrgyzstan,15.01,0.11,0.016511
Turkey,14.86,6.25,0.92875
Germany,14.85,10.48,1.55628
Sweden,14.55,10.84,1.57722
Tuvalu,14.37,2.8,0.40236
Poland,14.11,3.69,0.520659
Uzbekistan,13.75,0.79,0.108625
Austria,13.72,8.22,1.127784
Bosnia and Herzegovina,13.56,1.55,0.21018
St Kitts and Nevis,13.45,17.65,2.373925
Bulgaria,13.32,2.7,0.35964
Honduras,13.06,35.54,4.641524
Czech Republic,13.05,2.72,0.35496
Mongolia,12.65,0.24,0.03036
Egypt,12.62,5.54,0.699148
Sao Tome and Principe,12.3,3.09,0.38007
Seychelles,11.95,0.4,0.0478
Morocco,11.88,3.45,0.40986
Brazil,11.86,12.14,1.439804
Italy,11.8,11.63,1.37234
United Kingdom,11.77,15.86,1.866722
France,11.72,8.2,0.96104
Spain,11.72,4.79,0.561388
Nauru,11.71,0.92,0.107732
Cambodia,11.6,37.85,4.3906
Sri Lanka,11.47,24.83,2.848001
Tunisia,11.4,3.84,0.43776
Nicaragua,11.37,37.4,4.25238
Niger,11.29,0,0
Dominican Republic,11.27,37.09,4.180043
Hungary,11.24,3.88,0.436112
Tonga,11.19,21.83,2.442777
Yemen,10.99,0.64,0.070336
El Salvador,10.84,33.56,3.637904
European Union,10.81,8.43,0.911283
Indonesia,10.73,9.81,1.052613
Burkina Faso,10.71,0.33,0.035343
Australia,10.67,4.59,0.489753
Thailand,10.59,18.32,1.940088
Lebanon,10.58,4.58,0.484564
Kiribati,10.55,12.57,1.326135
Maldives,10.55,0.86,0.09073
Myanmar,10.5,3.08,0.3234
Cabo Verde,10.42,1.64,0.170888
New Caledonia,10.34,1.85,0.19129
Timor-Leste,10.33,11.45,1.182785
Belarus,10.33,0.08,0.008264
Turkmenistan,10.3,0.11,0.01133
Finland,10.27,10.27,1.054729
