Country,Added EFFECTIVE tariff rate as of November 21st 2025 (%),Exports to US as % of total 2024 exports,Exposure Measure (%)
Afghanistan,13.51,1.26,0.17
Albania,7.38,1.97,0.15
Algeria,3.61,4.97,0.18
Angola,3.2,5.64,0.18
Antigua and Barbuda,8.91,8.89,0.79
Argentina,8.01,8.06,0.65
Armenia,9.9,0.45,0.04
Australia,8.32,4.59,0.38
Austria,18.77,8.22,1.54
Azerbaijan,28.41,0.51,0.14
Bahamas,6.65,17.87,1.19
Bahrain,32.77,8.12,2.66
Bangladesh,20,17.48,3.5
Barbados,9.88,17.76,1.75
Belarus,10.89,0.08,0.01
Belgium,8.79,6.74,0.59
Belize,9.45,23.18,2.19
Benin,7.44,3.33,0.25
Bermuda,10.55,8.6,0.91
Bhutan,9.94,0.13,0.01
Bolivia,3.9,3.26,0.13
Bosnia and Herzegovina,31.8,1.55,0.49
Botswana,15.01,6.96,1.04
Brazil,26.23,12.14,3.18
Brunei,20.51,2.55,0.52
Bulgaria,20.49,2.7,0.55
Burkina Faso,2.67,0.33,0.01
Burundi,1.01,0.34,0
Cabo Verde,9.65,1.64,0.16
Cambodia,20.22,37.85,7.66
Cameroon,1.17,1.98,0.02
Canada,2.98,76.45,2.28
Central African Republic,13.41,0.87,0.12
Chad,0.76,1.98,0.01
Chile,5.68,15.5,0.88
China,24.01,13.39,3.21
Colombia,5.8,30.22,1.75
Comoros,0.94,5.84,0.06
Costa Rica,11.75,47.93,5.63
Ivory Coast,0.88,3.65,0.03
Croatia,14.88,3.44,0.51
Cuba,,,
Cyprus,14.46,1.46,0.21
Czech Republic,18.31,2.72,0.5
Democratic Republic of the Congo,0.71,0.01,0
Denmark,14.33,7.43,1.06
Djibouti,9.8,1.56,0.15
Dominica,8.38,5.26,0.44
Dominican Republic,11.31,37.09,4.2
Ecuador,5.81,19.53,1.13
Egypt,12.56,5.54,0.7
El Salvador,10.4,33.56,3.49
Equatorial Guinea,0.59,2.69,0.02
Eritrea,,,
Estonia,12.67,4.29,0.54
Eswatini,9.64,0.8,0.08
Ethiopia,6.3,7.23,0.46
European Union,14.42,8.43,1.22
Fiji,13.99,15.44,2.16
Finland,14.48,10.27,1.49
France,18.89,8.2,1.55
Gabon,0.52,2.56,0.01
Georgia,5.75,2.15,0.12
Germany,17.9,10.48,1.88
Ghana,2.37,2.16,0.05
Greece,20.07,5.04,1.01
Greenland,10.11,0,0
Grenada,6.68,9.84,0.66
Guatemala,6.74,32.05,2.16
Guinea,8.56,0.15,0.01
Guinea-Bissau,10,0.57,0.06
Guyana,0.93,13.06,0.12
Haiti,9.95,77.1,7.67
Honduras,11.77,35.54,4.18
Hungary,10.89,3.88,0.42
Iceland,10.89,11.52,1.25
India,32.8,18.61,6.1
Indonesia,18.29,9.81,1.79
Iran,,,
Iraq,0.81,6.31,0.05
Ireland,4.1,33.99,1.39
Israel,11.08,28.48,3.16
Italy,17.39,11.63,2.02
Jamaica,5.27,44.52,2.34
Japan,19.15,20,3.83
Jordan,15.01,22.57,3.39
Kazakhstan,2.31,1.86,0.04
Kenya,8.7,6.8,0.59
Kiribati,11.07,12.57,1.39
Kosovo,20.94,4.07,0.85
Kuwait,0.47,0.1,0
Kyrgyzstan,15.96,0.11,0.02
Laos,35.95,0.67,0.24
Latvia,13.39,3.53,0.47
Lebanon,9.58,4.58,0.44
Lesotho,15,16.07,2.41
Liberia,1.34,42.01,0.56
Libya,1.16,4.81,0.06
Lithuania,13.72,5.08,0.7
Luxembourg,29.87,2.95,0.88
Madagascar,9.5,14.24,1.35
Malawi,9.57,3.6,0.34
Malaysia,11.81,11.65,1.38
Maldives,10.55,0.86,0.09
Mali,10.73,0.5,0.05
Mauritania,11.04,0.09,0.01
Mauritius,14.65,11.05,1.62
Mexico,2.48,83.06,2.06
Moldova,24.1,2.48,0.6
Mongolia,8.68,0.24,0.02
Montenegro,11.46,0.81,0.09
Morocco,11.84,3.45,0.41
Mozambique,11.31,1.43,0.16
Myanmar,39.31,3.08,1.21
Namibia,10.97,2.66,0.29
Nauru,26.81,0.92,0.25
Nepal,9.92,10.71,1.06
Netherlands,11.03,5.64,0.62
New Caledonia,1.56,1.85,0.03
New Zealand,12.15,11.26,1.37
Nicaragua,14.44,37.4,5.4
Niger,12.61,0,0
Nigeria,0.85,8.87,0.08
North Korea,,,
Republic of Macedonia,15.19,1.4,0.21
Norway,8.69,3.44,0.3
Oman,20.87,6.16,1.29
Pakistan,18.78,17.42,3.27
Palau,11.79,2.36,0.28
Panama,8.72,17.35,1.51
Papua New Guinea,1.89,0.68,0.01
Paraguay,6.43,3.79,0.24
Peru,7.53,11.76,0.89
Philippines,13.84,16.62,2.3
Poland,19.6,3.69,0.72
Portugal,10.66,7.72,0.82
Qatar,5.86,1.69,0.1
Republic of the Congo,0.94,0.37,0
Romania,22.37,2.99,0.67
Russia,,,
Rwanda,2.49,0.62,0.02
Samoa,2,13.16,0.26
Sao Tome and Principe,12.91,3.09,0.4
Saudi Arabia,1.61,4.21,0.07
Senegal,5.44,3.5,0.19
Serbia,32.82,2.13,0.7
Seychelles,12.97,0.4,0.05
Sierra Leone,8.05,0.07,0.01
Singapore,4.37,8.72,0.38
Slovakia,16.35,4.16,0.68
Slovenia,4.19,1.29,0.05
Somalia,17.97,0.21,0.04
South Africa,12.98,7.68,1
South Korea,21.51,18.78,4.04
South Sudan,9.78,0.034,0
Spain,17.82,4.79,0.85
Sri Lanka,20.39,24.83,5.06
St Kitts and Nevis,17.59,17.65,3.11
St Lucia,8.86,14.4,1.28
St Vincent and the Grenadines,9.61,8.83,0.85
Sudan,10,0.57,0.06
Suriname,10.32,25.39,2.62
Sweden,17.43,10.84,1.89
Switzerland,15.99,14.12,2.26
Syria,,,
Taiwan,9.81,16.15,1.58
Tajikistan,2.83,0.05,0
Tanzania,7.96,2.06,0.16
Thailand,16.79,18.32,3.08
Timor-Leste,2.63,11.45,0.3
Togo,9.82,3.56,0.35
Tonga,11.71,21.83,2.56
Trinidad and Tobago,6.33,37.37,2.37
