Country,Added EFFECTIVE tariff rate as of November 6th 2025 (%),Exports to US as % of total 2024 exports,Exposure Measure (%)
Afghanistan,15.28,1.26,0.19
Albania,7.82,1.97,0.15
Algeria,5.88,4.97,0.29
Angola,3.21,5.64,0.18
Antigua and Barbuda,8.91,8.89,0.79
Argentina,8.44,8.06,0.68
Armenia,9.97,0.45,0.04
Australia,11.43,4.59,0.52
Austria,18.82,8.22,1.55
Azerbaijan,28.6,0.51,0.15
Bahamas,6.65,17.87,1.19
Bahrain,32.77,8.12,2.66
Bangladesh,20.03,17.48,3.5
Barbados,9.97,17.76,1.77
Belarus,11.1,0.08,0.01
Belgium,8.96,6.74,0.6
Belize,9.92,23.18,2.3
Benin,10.03,3.33,0.33
Bermuda,10.56,8.6,0.91
Bhutan,10,0.13,0.01
Bolivia,5.37,3.26,0.18
Bosnia and Herzegovina,32.16,1.55,0.5
Botswana,15.01,6.96,1.04
Brazil,34.9,12.14,4.24
Brunei,21.41,2.55,0.55
Bulgaria,21.25,2.7,0.57
Burkina Faso,10.92,0.33,0.04
Burundi,9.99,0.34,0.03
Cabo Verde,10.58,1.64,0.17
Cambodia,20.24,37.85,7.66
Cameroon,5.17,1.98,0.1
Canada,3.01,76.45,2.3
Central African Republic,13.41,0.87,0.12
Chad,0.76,1.98,0.01
Chile,6.06,15.5,0.94
China,24.13,13.39,3.23
Colombia,7.18,30.22,2.17
Comoros,9.95,5.84,0.58
Costa Rica,14.11,47.93,6.77
Ivory Coast,12.36,3.65,0.45
Croatia,15,3.44,0.52
Cuba,,,
Cyprus,15.17,1.46,0.22
Czech Republic,18.32,2.72,0.5
Democratic Republic of the Congo,0.93,0.01,0
Denmark,14.49,7.43,1.08
Djibouti,9.92,1.56,0.15
Dominica,9.99,5.26,0.53
Dominican Republic,11.89,37.09,4.41
Ecuador,8.21,19.53,1.6
Egypt,13.41,5.54,0.74
El Salvador,11.09,33.56,3.72
Equatorial Guinea,0.59,2.69,0.02
Eritrea,,,
Estonia,12.89,4.29,0.55
Eswatini,11.22,0.8,0.09
Ethiopia,10.01,7.23,0.72
European Union,14.57,8.43,1.23
Fiji,14.78,15.44,2.28
Finland,15.05,10.27,1.55
France,19.04,8.2,1.56
Gabon,0.52,2.56,0.01
Georgia,5.86,2.15,0.13
Germany,18.01,10.48,1.89
Ghana,5.06,2.16,0.11
Greece,21.25,5.04,1.07
Greenland,10.11,0,0
Grenada,9.24,9.84,0.91
Guatemala,10.19,32.05,3.27
Guinea,8.99,0.15,0.01
Guinea-Bissau,10,0.57,0.06
Guyana,1.01,13.06,0.13
Haiti,10.06,77.1,7.76
Honduras,13.18,35.54,4.68
Hungary,10.9,3.88,0.42
Iceland,10.99,11.52,1.27
India,33.46,18.61,6.23
Indonesia,19.06,9.81,1.87
Iran,,,
Iraq,0.89,6.31,0.06
Ireland,4.12,33.99,1.4
Israel,11.42,28.48,3.25
Italy,17.56,11.63,2.04
Jamaica,7.45,44.52,3.32
Japan,19.24,20,3.85
Jordan,15.78,22.57,3.56
Kazakhstan,3.99,1.86,0.07
Kenya,10.02,6.8,0.68
Kiribati,11.07,12.57,1.39
Kosovo,21.12,4.07,0.86
Kuwait,0.69,0.1,0
Kyrgyzstan,17.59,0.11,0.02
Laos,35.96,0.67,0.24
Latvia,13.57,3.53,0.48
Lebanon,12.37,4.58,0.57
Lesotho,15,16.07,2.41
Liberia,1.35,42.01,0.57
Libya,1.17,4.81,0.06
Lithuania,14.38,5.08,0.73
Luxembourg,29.87,2.95,0.88
Madagascar,12.77,14.24,1.82
Malawi,15.02,3.6,0.54
Malaysia,12.07,11.65,1.41
Maldives,10.55,0.86,0.09
Mali,11.54,0.5,0.06
Mauritania,11.04,0.09,0.01
Mauritius,16.05,11.05,1.77
Mexico,2.5,83.06,2.07
Moldova,24.37,2.48,0.6
Mongolia,12.91,0.24,0.03
Montenegro,11.46,0.81,0.09
Morocco,12.36,3.45,0.43
Mozambique,11.71,1.43,0.17
Myanmar,39.4,3.08,1.21
Namibia,10.97,2.66,0.29
Nauru,26.81,0.92,0.25
Nepal,10.11,10.71,1.08
Netherlands,11.41,5.64,0.64
New Caledonia,10.43,1.85,0.19
New Zealand,16,11.26,1.8
Nicaragua,17.46,37.4,6.53
Niger,12.61,0,0
Nigeria,1.3,8.87,0.12
North Korea,,,
Republic of Macedonia,15.37,1.4,0.22
Norway,9.29,3.44,0.32
Oman,21.58,6.16,1.33
Pakistan,18.98,17.42,3.31
Palau,11.79,2.36,0.28
Panama,9.62,17.35,1.67
Papua New Guinea,14.92,0.68,0.1
Paraguay,8.75,3.79,0.33
Peru,9.22,11.76,1.08
Philippines,15.18,16.62,2.52
Poland,19.93,3.69,0.74
Portugal,10.83,7.72,0.84
Qatar,8.22,1.69,0.14
Republic of the Congo,0.94,0.37,0
Romania,22.4,2.99,0.67
Russia,,,
Rwanda,8.79,0.62,0.05
Samoa,8.7,13.16,1.14
Sao Tome and Principe,12.91,3.09,0.4
Saudi Arabia,2.26,4.21,0.09
Senegal,6.18,3.5,0.22
Serbia,33.22,2.13,0.71
Seychelles,12.97,0.4,0.05
Sierra Leone,9,0.07,0.01
Singapore,5.03,8.72,0.44
Slovakia,16.35,4.16,0.68
Slovenia,4.2,1.29,0.05
Somalia,18.11,0.21,0.04
South Africa,19.02,7.68,1.46
South Korea,21.6,18.78,4.06
South Sudan,9.78,0.034,0
Spain,18.29,4.79,0.88
Sri Lanka,21.65,24.83,5.37
St Kitts and Nevis,17.59,17.65,3.11
St Lucia,9.68,14.4,1.39
St Vincent and the Grenadines,9.62,8.83,0.85
Sudan,10,0.57,0.06
Suriname,10.32,25.39,2.62
Sweden,17.68,10.84,1.92
Switzerland,24.5,14.12,3.46
Syria,,,
Taiwan,9.9,16.15,1.6
Tajikistan,2.83,0.05,0
Tanzania,9.83,2.06,0.2
Thailand,17.14,18.32,3.14
Timor-Leste,10.39,11.45,1.19
Togo,10.01,3.56,0.36
Tonga,12,21.83,2.62
Trinidad and Tobago,7.29,37.37,2.73
Tunisia,26.13,3.84,1
Turkey,20.73,6.25,1.3
Turkmenistan,10.35,0.11,0.01
Tuvalu,16.23,2.8,0.45
Uganda,15,1.93,0.29
Ukraine,17.12,2.08,0.36
United Arab Emirates,22.09,1.92,0.42
United Kingdom,13.99,15.86,2.22
United States of America,,,
Uruguay,9.7,9.39,0.91
Uzbekistan,17.66,0.79,0.14
Vanuatu,15.03,8.81,1.32
Venezuela,2.11,34.57,0.73
Vietnam,16.13,30.64,4.94
Western Sahara,,,
Yemen,11.61,0.64,0.07
Zambia,12.67,0.33,0.04
Zimbabwe,14.93,0.65,0.1
